function,taylor_expansion
x + 3*cosh(x) - 3*tanh(x),x**4/8 + x**3 + 3*x**2/2 - 2*x + 3
2*sqrt(x + 1) + exp(x)/3 - 3*tan(x),-37*x**4/576 - 59*x**3/72 - x**2/12 - 5*x/3 + 7/3
cos(x)**2 + cosh(x)/2 - 3*exp(-x),11*x**4/48 + x**3/2 - 9*x**2/4 + 3*x - 3/2
x*sin(x)/3 + tanh(x)/3,-x**4/18 - x**3/9 + x**2/3 + x/3
x*cos(x)/2 + cos(2*x)/3,2*x**4/9 - x**3/4 - 2*x**2/3 + x/2 + 1/3
2*sqrt(x + 1) + 3*cos(x)**2 - exp(-x),169*x**4/192 + 7*x**3/24 - 15*x**2/4 + 2*x + 4
-3*x*sin(x) + cos(x) + sinh(x) + 2*tanh(x),13*x**4/24 - x**3/2 - 7*x**2/2 + 3*x + 1
2*x*cos(x) + exp(x) + 3*sin(2*x) + 2*tan(x),x**4/24 - 25*x**3/6 + x**2/2 + 11*x + 1
-3*x*cos(x) - 2*sin(x),11*x**3/6 - 5*x
x**2/2 - 2*log(x + 1) + cosh(x) - 3*tanh(x),13*x**4/24 + x**3/3 + 2*x**2 - 5*x + 1
-3*x**2 + log(x + 1)/2 + cosh(x)/2,-5*x**4/48 + x**3/6 - 3*x**2 + x/2 + 1/2
sqrt(x + 1) - sin(x)**2 - exp(-x),97*x**4/384 + 11*x**3/48 - 13*x**2/8 + 3*x/2
log(x + 1)/2 + cos(x)**2/3 - cos(x) - cos(2*x),-13*x**4/18 + x**3/6 + 23*x**2/12 + x/2 - 5/3
x**3 + x*sin(x)/2 + tanh(x)/3,-x**4/12 + 8*x**3/9 + x**2/2 + x/3
-3*log(x + 1) + sin(2*x)/3 + 1/(x + 1),7*x**4/4 - 22*x**3/9 + 5*x**2/2 - 10*x/3 + 1
2*x - 3*sin(2*x),4*x**3 - 4*x
-3*x**3 + 2*x + 3*log(x + 1) + exp(-x)/3,-53*x**4/72 - 37*x**3/18 - 4*x**2/3 + 14*x/3 + 1/3
sin(x)/2 + sinh(x)/3,-x**3/36 + 5*x/6
3*exp(x) + log(x + 1) - 2*sin(x)**2,13*x**4/24 + 5*x**3/6 - x**2 + 4*x + 3
x*sin(x)/3 - 2*cos(x) - 1/(x + 1),-41*x**4/36 + x**3 + x**2/3 + x - 3
-3*sin(x) + cos(x)**2/3 + cos(x)/2,19*x**4/144 + x**3/2 - 7*x**2/12 - 3*x + 5/6
-x*sin(x) + cos(x)/3 - 3*cos(2*x) + 3/(x + 1),85*x**4/72 - 3*x**3 + 47*x**2/6 - 3*x + 1/3
2*x*sin(x) - 2*x*cos(x) - 1/(x + 1),-4*x**4/3 + 2*x**3 + x**2 - x - 1
x*sin(x)/3 + 2*x*cos(x) + 2*tanh(x),-x**4/18 - 5*x**3/3 + x**2/3 + 4*x
x**3 - 2*cos(x) + cos(2*x)/3,5*x**4/36 + x**3 + x**2/3 - 5/3
x**2/2 + sqrt(x + 1)/3 - 3*cos(x)**2 + 3*tan(x),-389*x**4/384 + 49*x**3/48 + 83*x**2/24 + 19*x/6 - 8/3
3*x*sin(x) + cos(x)/3,-35*x**4/72 + 17*x**2/6 + 1/3
x*cos(x) + 2*sin(2*x) + sinh(x)/3,-28*x**3/9 + 16*x/3
x**2/2 - 3*exp(x) + sinh(x)/2,-x**4/8 - 5*x**3/12 - x**2 - 5*x/2 - 3
3*x**3 + 3*sqrt(x + 1),-15*x**4/128 + 51*x**3/16 - 3*x**2/8 + 3*x/2 + 3
-cosh(x) + tanh(x)/3 + exp(-x)/3,-x**4/36 - x**3/6 - x**2/3 - 2/3
log(x + 1) - 2*tanh(x),-x**4/4 + x**3 - x**2/2 - x
2*log(x + 1) - 2*sin(x)**2 - 1/(x + 1),-5*x**4/6 + 5*x**3/3 - 4*x**2 + 3*x - 1
2*log(x + 1) - 3*cos(2*x),-5*x**4/2 + 2*x**3/3 + 5*x**2 + 2*x - 3
-3*x*sin(x) - 3*x + 2*tan(x) + 3*tanh(x),x**4/2 - x**3/3 - 3*x**2 + 2*x
x - 2*tan(x) + 2*exp(-x),x**4/12 - x**3 + x**2 - 3*x + 2
-3*cos(2*x) + exp(-x)/2,-95*x**4/48 - x**3/12 + 25*x**2/4 - x/2 - 5/2
sqrt(x + 1) - 3*sinh(x),-5*x**4/128 - 7*x**3/16 - x**2/8 - 5*x/2 + 1
3*x*cos(x) + exp(x)/2 + log(x + 1)/2,-5*x**4/48 - 5*x**3/4 + 4*x + 1/2
-3*cos(x) + exp(-x)/2,-5*x**4/48 - x**3/12 + 7*x**2/4 - x/2 - 5/2
x**2 + exp(-x)/3 + 1/(3*(x + 1)),25*x**4/72 - 7*x**3/18 + 3*x**2/2 - 2*x/3 + 2/3
x**2 + 2*sqrt(x + 1),-5*x**4/64 + x**3/8 + 3*x**2/4 + x + 2
2*x**2 - 3*sqrt(x + 1) - 3*cosh(x),-x**4/128 - 3*x**3/16 + 7*x**2/8 - 3*x/2 - 6
-exp(x) + cos(x)/3,-x**4/36 - x**3/6 - 2*x**2/3 - x - 2/3
-3*sin(2*x) + cos(x) + cos(2*x)/3,19*x**4/72 + 4*x**3 - 7*x**2/6 - 6*x + 4/3
x**2/2 - 2*log(x + 1) - 2*cos(2*x) - 3*sinh(x),-5*x**4/6 - 7*x**3/6 + 11*x**2/2 - 5*x - 2
x**2/2 + log(x + 1) + 3*sin(2*x),-x**4/4 - 11*x**3/3 + 7*x
3*log(x + 1) - 3*sin(x)**2,x**4/4 + x**3 - 9*x**2/2 + 3*x
x**3/3 - 2*x*sin(x) + 3*cosh(x),11*x**4/24 + x**3/3 - x**2/2 + 3
x*sin(x)/3 + 2*cos(2*x) + tanh(x),23*x**4/18 - x**3/3 - 11*x**2/3 + x + 2
-2*x*cos(x) - 2*sin(x) - 2*cos(x)**2 - cos(2*x),-4*x**4/3 + 4*x**3/3 + 4*x**2 - 4*x - 3
x*cos(x)/3 - 3*cos(x) - 2*cos(2*x) + sinh(x)/2,-35*x**4/24 - x**3/12 + 11*x**2/2 + 5*x/6 - 5
x**2/2 - 3*cos(x)**2 + 3*exp(-x),-7*x**4/8 - x**3/2 + 5*x**2 - 3*x
-2*x*sin(x) - 3*log(x + 1) - 2*sin(x)**2 + sinh(x)/3,7*x**4/4 - 17*x**3/18 - 5*x**2/2 - 8*x/3
x*cos(x) - cos(x)**2 - 3*cos(x) + 2*tanh(x),-11*x**4/24 - 7*x**3/6 + 5*x**2/2 + 3*x - 4
x*sin(x)/2 - x + sin(x)**2/3 + 3*sin(2*x),-7*x**4/36 - 4*x**3 + 5*x**2/6 + 5*x
2*x*sin(x) - 2*sin(x)**2 + cos(x)**2/3 + cosh(x)/3,11*x**4/24 - x**2/6 + 2/3
-3*sin(x) + tan(x) - 3/(x + 1),-3*x**4 + 23*x**3/6 - 3*x**2 + x - 3
x*cos(x)/2 - 2*cos(x)**2 + 1/(x + 1),x**4/3 - 5*x**3/4 + 3*x**2 - x/2 - 1
3*x*sin(x) + 3*cos(x)**2 + 3*tan(x),x**4/2 + x**3 + 3*x + 3
x*sin(x) + 2*log(x + 1) + cos(x)**2/2 - cos(2*x),-7*x**4/6 + 2*x**3/3 + 3*x**2/2 + 2*x - 1/2
-3*exp(x) - 2*cos(x)**2 - 3*exp(-x),-11*x**4/12 - x**2 - 8
x*cos(x)/3 + x/2 - 3*sinh(x),-2*x**3/3 - 13*x/6
2*x*cos(x) - 3*sinh(x),-3*x**3/2 - x
x**2 + sin(x)**2 - 2*sin(x) + cos(x),-7*x**4/24 + x**3/3 + 3*x**2/2 - 2*x + 1
3*sin(x) - sin(2*x),5*x**3/6 + x
-2*sin(x) + cos(x) - tanh(x),x**4/24 + 2*x**3/3 - x**2/2 - 3*x + 1
log(x + 1) + sin(x)**2/3,-13*x**4/36 + x**3/3 - x**2/6 + x
x*sin(x)/2 + x*cos(x)/3 + 3*sqrt(x + 1),-77*x**4/384 + x**3/48 + x**2/8 + 11*x/6 + 3
x*sin(x)/3 + 3*x + cosh(x),-x**4/72 + 5*x**2/6 + 3*x + 1
-x**3 + 3*x*cos(x) + cos(x)**2/2 - 2*cosh(x),x**4/12 - 5*x**3/2 - 3*x**2/2 + 3*x - 3/2
sqrt(x + 1)/2 + tan(x) + sinh(x)/3,-5*x**4/256 + 121*x**3/288 - x**2/16 + 19*x/12 + 1/2
-3*sin(x)**2 + cos(2*x),5*x**4/3 - 5*x**2 + 1
2*sin(x) + sin(2*x)/3 + exp(-x),x**4/24 - 17*x**3/18 + x**2/2 + 5*x/3 + 1
exp(x)/2 + 2*cos(2*x),65*x**4/48 + x**3/12 - 15*x**2/4 + x/2 + 5/2
-2*sin(x)**2 + tan(x)/3,2*x**4/3 + x**3/9 - 2*x**2 + x/3
-2*tan(x) + 1/(x + 1),x**4 - 5*x**3/3 + x**2 - 3*x + 1
2*log(x + 1) - 3*sinh(x) - 2*exp(-x),-7*x**4/12 + x**3/2 - 2*x**2 + x - 2
x**2 - x + 2*log(x + 1),-x**4/2 + 2*x**3/3 + x
-x**3 + sqrt(x + 1) - exp(x) + 2*cos(x),x**4/384 - 53*x**3/48 - 13*x**2/8 - x/2 + 2
2*cos(x) + 3*cos(2*x) - 2*exp(-x),2*x**4 + x**3/3 - 8*x**2 + 2*x + 3
x*sin(x)/2 + 2*cos(2*x) - 3*cosh(x),9*x**4/8 - 5*x**2 - 1
-x + cos(x)**2/2,x**4/6 - x**2/2 - x + 1/2
x**3/2 - log(x + 1) + 2/(x + 1),9*x**4/4 - 11*x**3/6 + 5*x**2/2 - 3*x + 2
-x*sin(x) - 1/(x + 1),-5*x**4/6 + x**3 - 2*x**2 + x - 1
x*cos(x)/3 - sin(x) + sinh(x) + exp(-x)/3,x**4/72 + x**3/9 + x**2/6 + 1/3
-x**3 + x*sin(x)/3 + sqrt(x + 1)/3 + 2/(x + 1),2225*x**4/1152 - 143*x**3/48 + 55*x**2/24 - 11*x/6 + 7/3
-3*x*sin(x) + 3*cos(x)**2 - 3*exp(-x),11*x**4/8 + x**3/2 - 15*x**2/2 + 3*x
3*sinh(x) + 2*tanh(x),-x**3/6 + 5*x
3*log(x + 1) + 1/(2*(x + 1)),-x**4/4 + x**3/2 - x**2 + 5*x/2 + 1/2
-3*log(x + 1) + 2*sin(x)**2 - 3*tan(x),x**4/12 - 2*x**3 + 7*x**2/2 - 6*x
2*x*sin(x) + x + sqrt(x + 1),-143*x**4/384 + x**3/16 + 15*x**2/8 + 3*x/2 + 1
3*log(x + 1) + 2*cos(x)**2 - 2*sinh(x),-x**4/12 + 2*x**3/3 - 7*x**2/2 + x + 2
3*x*cos(x) - log(x + 1) - 2*cos(x)**2 + 1/(2*(x + 1)),x**4/12 - 7*x**3/3 + 3*x**2 + 3*x/2 - 3/2
3*x - 2*sin(x)**2 - 3*sin(2*x),2*x**4/3 + 4*x**3 - 2*x**2 - 3*x
sin(x)/3 + tan(x)/2,x**3/9 + 5*x/6
2*log(x + 1) - 3*sin(x)**2 + tan(x)/3,x**4/2 + 7*x**3/9 - 4*x**2 + 7*x/3
x*cos(x)/3 + log(x + 1)/2 + 3*sinh(x),-x**4/8 + x**3/2 - x**2/4 + 23*x/6
cos(x)/2 + 3*cosh(x),7*x**4/48 + 5*x**2/4 + 7/2
3*x*cos(x) + 3*sin(x) - 2*tanh(x) + 2*exp(-x),x**4/12 - 5*x**3/3 + x**2 + 2*x + 2
x*sin(x) - sqrt(x + 1) - 3*exp(x) - 3*sin(x),-97*x**4/384 - x**3/16 - 3*x**2/8 - 13*x/2 - 4
sin(2*x)/3 + cos(2*x)/2 - 3*exp(-x),5*x**4/24 + x**3/18 - 5*x**2/2 + 11*x/3 - 5/2
x**3/3 - 3*log(x + 1),3*x**4/4 - 2*x**3/3 + 3*x**2/2 - 3*x
x*cos(x)/2 - x - 2*cos(x) - cosh(x),-x**4/8 - x**3/4 + x**2/2 - x/2 - 3
-3*x**3 + x/3 - 2*cosh(x),-x**4/12 - 3*x**3 - x**2 + x/3 - 2
-x**2 + x*sin(x)/2 - sin(2*x) - 2*cos(x),-x**4/6 + 4*x**3/3 + x**2/2 - 2*x - 2
-x**3 + 2*sin(x)**2 + cos(x)**2/2 - 2*cos(x),-7*x**4/12 - x**3 + 5*x**2/2 - 3/2
x*sin(x)/2 - cos(x)**2 + 3*tan(x),-5*x**4/12 + x**3 + 3*x**2/2 + 3*x - 1
-sin(x) + cos(x)**2/3 - 2*cos(x) + tan(x),x**4/36 + x**3/2 + 2*x**2/3 - 5/3
-3*cos(x) + tanh(x) + exp(-x)/3,-x**4/9 - 7*x**3/18 + 5*x**2/3 + 2*x/3 - 8/3
-sqrt(x + 1) - 2*exp(x) - 1/(x + 1),-401*x**4/384 + 29*x**3/48 - 15*x**2/8 - 3*x/2 - 4
x**3 - x**2 + exp(x)/2 - 3*sin(x),x**4/48 + 19*x**3/12 - 3*x**2/4 - 5*x/2 + 1/2
-sqrt(x + 1) + tanh(x),5*x**4/128 - 19*x**3/48 + x**2/8 + x/2 - 1
-x**3 + 3*log(x + 1) + cosh(x)/2 - 2/(x + 1),-131*x**4/48 + 2*x**3 - 13*x**2/4 + 5*x - 3/2
2*x**3 + 3*cos(x)**2 + 2/(x + 1),3*x**4 - x**2 - 2*x + 5
-3*x*sin(x) - x - 2*tan(x),x**4/2 - 2*x**3/3 - 3*x**2 - 3*x
x/3 + cos(x) + 3*exp(-x),x**4/6 - x**3/2 + x**2 - 8*x/3 + 4
x/2 - 3*sin(x) + cosh(x)/2,x**4/48 + x**3/2 + x**2/4 - 5*x/2 + 1/2
-2*x**2 + x*sin(x)/2 + exp(-x),-x**4/24 - x**3/6 - x**2 - x + 1
3*sqrt(x + 1) + sin(2*x) - cos(2*x),-301*x**4/384 - 55*x**3/48 + 13*x**2/8 + 7*x/2 + 2
2*x + 2*sin(x)**2 + sinh(x),-2*x**4/3 + x**3/6 + 2*x**2 + 3*x
x**3/2 + x**2 + 2*sin(x),x**3/6 + x**2 + 2*x
2*sin(x) + 3*cos(x) + tan(x)/3,x**4/8 - 2*x**3/9 - 3*x**2/2 + 7*x/3 + 3
-2*x**2 + 3*sqrt(x + 1) + cos(2*x)/3 + sinh(x)/2,121*x**4/1152 + 13*x**3/48 - 73*x**2/24 + 2*x + 10/3
3*log(x + 1) - 3*cos(2*x) - 2*tanh(x),-11*x**4/4 + 5*x**3/3 + 9*x**2/2 + x - 3
x*cos(x)/3 + exp(-x)/3,x**4/72 - 2*x**3/9 + x**2/6 + 1/3
sin(2*x) + 2*cosh(x) + tanh(x)/2,x**4/12 - 3*x**3/2 + x**2 + 5*x/2 + 2
2*x**2 + x*cos(x)/3 + 3*sin(2*x),-25*x**3/6 + 2*x**2 + 19*x/3
-3*sqrt(x + 1) - sin(2*x) - 2/(x + 1),-241*x**4/128 + 151*x**3/48 - 13*x**2/8 - 3*x/2 - 5
3*sin(x)**2 + 3*cos(x) + cosh(x) + tanh(x),-5*x**4/6 - x**3/3 + 2*x**2 + x + 4
-cos(x)**2 + 3*sinh(x),-x**4/3 + x**3/2 + x**2 + 3*x - 1
x**2/2 - 3*sin(2*x) + 3*cos(x)**2 - cosh(x),23*x**4/24 + 4*x**3 - 3*x**2 - 6*x + 2
-2*x**3 - sqrt(x + 1),5*x**4/128 - 33*x**3/16 + x**2/8 - x/2 - 1
-2*sin(x) - 2*cos(2*x) + tan(x) - sinh(x),-4*x**4/3 + x**3/2 + 4*x**2 - 2*x - 2
-2*x*cos(x) + sinh(x)/3 + cosh(x)/3,x**4/72 + 19*x**3/18 + x**2/6 - 5*x/3 + 1/3
sin(x)**2/2 - cos(2*x) + cosh(x),-19*x**4/24 + 3*x**2
2*x**2 + 3*x - exp(-x),-x**4/24 + x**3/6 + 3*x**2/2 + 4*x - 1
-2*x + 3*tan(x),x**3 + x
3*x*cos(x) + 3/(x + 1),3*x**4 - 9*x**3/2 + 3*x**2 + 3
-log(x + 1) - sin(2*x),x**4/4 + x**3 + x**2/2 - 3*x
-x*sin(x) - 2*sinh(x) - 2*tanh(x) - 3*exp(-x),x**4/24 + 5*x**3/6 - 5*x**2/2 - x - 3
-2*x**2 - 2*exp(x) + cos(x)/2,-x**4/16 - x**3/3 - 13*x**2/4 - 2*x - 3/2
x*sin(x)/3 + cos(2*x)/3 + sinh(x)/3,x**4/6 + x**3/18 - x**2/3 + x/3 + 1/3
-x + 3*sin(2*x) + cosh(x)/2 - 3*exp(-x),-5*x**4/48 - 7*x**3/2 - 5*x**2/4 + 8*x - 5/2
sqrt(x + 1) + sin(x) + exp(-x)/2,-7*x**4/384 - 3*x**3/16 + x**2/8 + x + 3/2
-2*exp(x) - 1/(x + 1),-13*x**4/12 + 2*x**3/3 - 2*x**2 - x - 3
x*cos(x) + log(x + 1)/2 - cos(x) + tanh(x)/2,-x**4/6 - x**3/2 + x**2/4 + 2*x - 1
-3*x*sin(x) + 3*exp(x) + cos(x)/3,23*x**4/36 + x**3/2 - 5*x**2/3 + 3*x + 10/3
3*x*cos(x) - 2*sin(x)**2,2*x**4/3 - 3*x**3/2 - 2*x**2 + 3*x
-x**3 + exp(x) - sin(2*x) + cos(x)/2,x**4/16 + x**3/2 + x**2/4 - x + 3/2
-x**3 + 3*cos(x) + 2*cos(2*x) - 3*cosh(x),4*x**4/3 - x**3 - 7*x**2 + 2
2*x*cos(x) - sinh(x) - 2*exp(-x),-x**4/12 - 5*x**3/6 - x**2 + 3*x - 2
x*sin(x) - 3*log(x + 1) + tanh(x),7*x**4/12 - 4*x**3/3 + 5*x**2/2 - 2*x
cos(x)/2 - 3*cos(2*x),-95*x**4/48 + 23*x**2/4 - 5/2
-3*x*cos(x) + cos(x)/3 + 3/(x + 1),217*x**4/72 - 3*x**3/2 + 17*x**2/6 - 6*x + 10/3
x**2 + sinh(x) - exp(-x) + 2/(x + 1),47*x**4/24 - 5*x**3/3 + 5*x**2/2 + 1
-2*tan(x) + 2*sinh(x) + 3*exp(-x),x**4/8 - 5*x**3/6 + 3*x**2/2 - 3*x + 3
3*sin(x)**2 + tan(x)/2 + 3*sinh(x) + tanh(x)/3,-x**4 + 5*x**3/9 + 3*x**2 + 23*x/6
-log(x + 1) - sin(x) + sin(2*x)/3,x**4/4 - 11*x**3/18 + x**2/2 - 4*x/3
-3*tan(x) - tanh(x) + 2*exp(-x),x**4/12 - x**3 + x**2 - 6*x + 2
sinh(x) + 3/(x + 1),3*x**4 - 17*x**3/6 + 3*x**2 - 2*x + 3
sqrt(x + 1)/2 - 3*sin(2*x) + 2*sinh(x),-5*x**4/256 + 419*x**3/96 - x**2/16 - 15*x/4 + 1/2
3*x**3 + x/2 - exp(x),-x**4/24 + 17*x**3/6 - x**2/2 - x/2 - 1
3*x*cos(x) - cos(2*x),-2*x**4/3 - 3*x**3/2 + 2*x**2 + 3*x - 1
3*x**3 + x*cos(x)/3 + sinh(x)/3,26*x**3/9 + 2*x/3
3*sqrt(x + 1) + sin(x)/2 + tan(x)/3 + sinh(x)/3,-15*x**4/128 + 13*x**3/48 - 3*x**2/8 + 8*x/3 + 3
x**2/2 + exp(x)/3 - 2*tan(x),x**4/72 - 11*x**3/18 + 2*x**2/3 - 5*x/3 + 1/3
x**2/3 + 2*x + 3*tanh(x),-x**3 + x**2/3 + 5*x
-sqrt(x + 1) + cos(x)/3 - 3*cos(2*x),-2243*x**4/1152 - x**3/16 + 143*x**2/24 - x/2 - 11/3
sin(2*x)/3 - 2*sinh(x),-7*x**3/9 - 4*x/3
-2*x**2 + log(x + 1)/2 - cos(x)**2,-11*x**4/24 + x**3/6 - 5*x**2/4 + x/2 - 1
x + sqrt(x + 1),-5*x**4/128 + x**3/16 - x**2/8 + 3*x/2 + 1
-2*x**3 + 3*cos(x)**2 + cos(2*x),5*x**4/3 - 2*x**3 - 5*x**2 + 4
2*x - 3*cos(2*x) + 2*tan(x) + 2*cosh(x),-23*x**4/12 + 2*x**3/3 + 7*x**2 + 4*x - 1
x**3/3 + 3*x*cos(x) + log(x + 1)/2,-x**4/8 - x**3 - x**2/4 + 7*x/2
2*log(x + 1) + sin(x)**2 + cos(x)/2,-13*x**4/16 + 2*x**3/3 - x**2/4 + 2*x + 1/2
-sin(x)**2 + sin(2*x)/2 - 2*sinh(x) - exp(-x),7*x**4/24 - 5*x**3/6 - 3*x**2/2 - 1
3*exp(x) + log(x + 1),-x**4/8 + 5*x**3/6 + x**2 + 4*x + 3
2*x**2 + cos(x) + tanh(x)/2,x**4/24 - x**3/6 + 3*x**2/2 + x/2 + 1
-3*sin(x)**2 - 3*sin(2*x) + sinh(x)/3 + 3*exp(-x),9*x**4/8 + 32*x**3/9 - 3*x**2/2 - 26*x/3 + 3
x - exp(x) - 2*sin(x)**2,5*x**4/8 - x**3/6 - 5*x**2/2 - 1
-3*x*sin(x) - 2*sin(x)**2 - 3*cosh(x),25*x**4/24 - 13*x**2/2 - 3
-2*x**3 + x*cos(x)/2 - 3*exp(x),-x**4/8 - 11*x**3/4 - 3*x**2/2 - 5*x/2 - 3
-2*sin(x)**2 - 3*sinh(x) + cosh(x),17*x**4/24 - x**3/2 - 3*x**2/2 - 3*x + 1
x*cos(x) + 1/(2*(x + 1)),x**4/2 - x**3 + x**2/2 + x/2 + 1/2
-2*exp(x) + cos(x)/2,-x**4/16 - x**3/3 - 5*x**2/4 - 2*x - 3/2
x*cos(x) + 2*sin(x) + 3*cos(x),x**4/8 - 5*x**3/6 - 3*x**2/2 + 3*x + 3
x*sin(x)/2 - 2*x*cos(x),-x**4/12 + x**3 + x**2/2 - 2*x
-x**2 - 2*cos(2*x),-4*x**4/3 + 3*x**2 - 2
-sinh(x) + 2*cosh(x) + 3*tanh(x),x**4/12 - 7*x**3/6 + x**2 + 2*x + 2
3*log(x + 1) - cosh(x),-19*x**4/24 + x**3 - 2*x**2 + 3*x - 1
-2*log(x + 1) + 3/(x + 1),7*x**4/2 - 11*x**3/3 + 4*x**2 - 5*x + 3
2*x*cos(x) - 3*cos(2*x) - exp(-x),-49*x**4/24 - 5*x**3/6 + 11*x**2/2 + 3*x - 4
3*x**2 - 3*x - exp(-x),-x**4/24 + x**3/6 + 5*x**2/2 - 2*x - 1
-3*sin(2*x) - 3*cos(2*x) + 2*cosh(x),-23*x**4/12 + 4*x**3 + 7*x**2 - 6*x - 1
2*x**3 - 3*log(x + 1) + 3/(x + 1),15*x**4/4 - 2*x**3 + 9*x**2/2 - 6*x + 3
2*x*sin(x) + 2*cos(2*x) + 3*tan(x) + sinh(x)/2,x**4 + 13*x**3/12 - 2*x**2 + 7*x/2 + 2
2*sin(x)**2 - sin(2*x) + tan(x)/3 + 2*exp(-x),-7*x**4/12 + 10*x**3/9 + 3*x**2 - 11*x/3 + 2
2*x + 3*tanh(x),-x**3 + 5*x
-2*log(x + 1) + 2*cos(x)**2 + 3*sinh(x),7*x**4/6 - x**3/6 - x**2 + x + 2
sin(2*x) + 2*tanh(x),-2*x**3 + 4*x
-x*sin(x) + sin(x)**2/2 + 3*cos(x)**2,x**4 - 7*x**2/2 + 3
2*sin(x)**2 + 2*tanh(x),-2*x**4/3 - 2*x**3/3 + 2*x**2 + 2*x
3*sqrt(x + 1) + exp(x)/2 + 2*sin(x) + tan(x)/2,-37*x**4/384 + 5*x**3/48 - x**2/8 + 9*x/2 + 7/2
cos(x)/2 + tan(x)/3 + 2*sinh(x),x**4/48 + 4*x**3/9 - x**2/4 + 7*x/3 + 1/2
-x**3 + 3*x*sin(x) - 2*sinh(x),-x**4/2 - 4*x**3/3 + 3*x**2 - 2*x
-x - 3*sin(x)**2 - 2*sinh(x) - 3*exp(-x),7*x**4/8 + x**3/6 - 9*x**2/2 - 3
-2*x*sin(x) + 3*sin(2*x) - 3*tanh(x),x**4/3 - 3*x**3 - 2*x**2 + 3*x
x**2/3 - x + tan(x)/2 + cosh(x)/2,x**4/48 + x**3/6 + 7*x**2/12 - x/2 + 1/2
x**2/3 + exp(-x)/2,x**4/48 - x**3/12 + 7*x**2/12 - x/2 + 1/2
-3*sin(x)**2 + tan(x)/2,x**4 + x**3/6 - 3*x**2 + x/2
sin(x)**2 + 1/(3*(x + 1)),-x**3/3 + 4*x**2/3 - x/3 + 1/3
-x + sqrt(x + 1)/2 + sin(x)**2 + cos(x)/3,-781*x**4/2304 + x**3/32 + 37*x**2/48 - 3*x/4 + 5/6
x*cos(x) + 2*cos(x) + sinh(x)/2 - 3/(x + 1),-35*x**4/12 + 31*x**3/12 - 4*x**2 + 9*x/2 - 1
exp(x)/3 - 2*sin(x)**2,49*x**4/72 + x**3/18 - 11*x**2/6 + x/3 + 1/3
-3*cos(x)**2 + tan(x) + cosh(x),-23*x**4/24 + x**3/3 + 7*x**2/2 + x - 2
-3*x**3 - 2*sin(x)**2 + 3*sin(x),2*x**4/3 - 7*x**3/2 - 2*x**2 + 3*x
-2*x**2 + log(x + 1) + sin(x) + 3*tan(x),-x**4/4 + 7*x**3/6 - 5*x**2/2 + 5*x
3*x**3 - 2*sin(x)**2 - 3*sin(x) + 2*cos(x),3*x**4/4 + 7*x**3/2 - 3*x**2 - 3*x + 2
-2*x**2 + x*cos(x)/2 + sin(x)**2/3,-x**4/9 - x**3/4 - 5*x**2/3 + x/2
sin(x)**2/2 - 2*cos(x) + tanh(x)/3,-x**4/4 - x**3/9 + 3*x**2/2 + x/3 - 2
3*sqrt(x + 1) + sin(2*x) + cos(2*x)/2,83*x**4/384 - 55*x**3/48 - 11*x**2/8 + 7*x/2 + 7/2
-2*exp(x) - 3*tanh(x),-x**4/12 + 2*x**3/3 - x**2 - 5*x - 2
sinh(x) - 3*cosh(x) + exp(-x) + 2/(x + 1),23*x**4/12 - 2*x**3 + x**2 - 2*x
3*x*sin(x) - 3*sqrt(x + 1) + exp(x),-131*x**4/384 - x**3/48 + 31*x**2/8 - x/2 - 2
-3*x*cos(x) + 3*sin(2*x),-5*x**3/2 + 3*x
-x**3 - 2*cos(x) - 3*tan(x),-x**4/12 - 2*x**3 + x**2 - 3*x - 2
x + sinh(x)/2 + 3*exp(-x),x**4/8 - 5*x**3/12 + 3*x**2/2 - 3*x/2 + 3
-3*x**2 + cos(x)**2/3,x**4/9 - 10*x**2/3 + 1/3
x*cos(x) + cos(x)**2/2 + cosh(x)/2,3*x**4/16 - x**3/2 - x**2/4 + x + 1
-2*x**2 + sin(x)/3 - 3*tanh(x) + 1/(3*(x + 1)),x**4/3 + 11*x**3/18 - 5*x**2/3 - 3*x + 1/3
log(x + 1)/3 - 2*cos(2*x),-17*x**4/12 + x**3/9 + 23*x**2/6 + x/3 - 2
-x + 3*sqrt(x + 1) + cos(x)**2/3 + exp(-x)/3,x**4/128 + 19*x**3/144 - 13*x**2/24 + x/6 + 11/3
sqrt(x + 1)/2 - sin(x)**2 - tan(x),241*x**4/768 - 29*x**3/96 - 17*x**2/16 - 3*x/4 + 1/2
2*x**3 + 3*cos(2*x) + exp(-x)/3 + 2/(x + 1),289*x**4/72 - x**3/18 - 23*x**2/6 - 7*x/3 + 16/3
3*x*sin(x) - 2*exp(x),-7*x**4/12 - x**3/3 + 2*x**2 - 2*x - 2
sin(x) + sinh(x)/3,-x**3/9 + 4*x/3
2*x*sin(x) + 3*log(x + 1) - 2*cos(x) + 2*exp(-x),-13*x**4/12 + 2*x**3/3 + 5*x**2/2 + x
-2*exp(x) - 2*cos(x) + cosh(x),-x**4/8 - x**3/3 + x**2/2 - 2*x - 3
3*x*sin(x) - 2*x + 2*cos(x)**2 + exp(-x),5*x**4/24 - x**3/6 + 3*x**2/2 - 3*x + 3
sin(x)**2/2 + 2*sin(2*x),-x**4/6 - 8*x**3/3 + x**2/2 + 4*x
-3*x + 2*cos(x),x**4/12 - x**2 - 3*x + 2
3*x**3 - 2*tanh(x),11*x**3/3 - 2*x
